Generate Reports | Start: 2026-04-17 15:47:16.878350 | End: 2026-04-17 15:47:17.798354 | Duration: 0:00:00.920004 | Code: 0
Generate Reports | Start: 2026-04-17 15:47:17.798354 | End: 2026-04-17 15:51:38.618889 | Duration: 0:04:20.820535 | Code: 0
Fetch Events | Start: 2026-04-20 09:16:34.545806 | End: 2026-04-20 09:20:14.972227 | Duration: 0:03:40.426421 | Code: 0
Fetch Events | Start: 2026-04-20 09:20:14.972227 | End: 2026-04-20 09:20:18.560999 | Duration: 0:00:03.588772 | Code: 0
Merge Files | Start: 2026-04-20 09:20:18.561969 | End: 2026-04-20 09:20:23.207527 | Duration: 0:00:04.645558 | Code: 1
Fetch Events | Start: 2026-04-20 11:46:20.626589 | End: 2026-04-20 11:50:18.456160 | Duration: 0:03:57.829571 | Code: 0
Fetch Events | Start: 2026-04-20 11:50:18.456160 | End: 2026-04-20 11:50:27.492568 | Duration: 0:00:09.036408 | Code: 0
Merge Files | Start: 2026-04-20 11:50:27.494569 | End: 2026-04-20 11:50:29.763603 | Duration: 0:00:02.269034 | Code: 0
Sessionize | Start: 2026-04-20 11:50:29.764542 | End: 2026-04-20 11:50:31.200834 | Duration: 0:00:01.436292 | Code: 0
Generate Reports | Start: 2026-04-20 11:50:31.200834 | End: 2026-04-20 11:50:32.489830 | Duration: 0:00:01.288996 | Code: 0
Generate Reports | Start: 2026-04-20 11:50:32.489830 | End: 2026-04-20 11:50:36.816504 | Duration: 0:00:04.326674 | Code: 0
Generate Reports | Start: 2026-04-20 11:50:36.817499 | End: 2026-04-20 11:50:42.692081 | Duration: 0:00:05.874582 | Code: 0
Generate Reports | Start: 2026-04-20 11:50:42.692081 | End: 2026-04-20 11:50:43.985845 | Duration: 0:00:01.293764 | Code: 0
Generate Reports | Start: 2026-04-20 11:50:43.986858 | End: 2026-04-20 11:50:44.973670 | Duration: 0:00:00.986812 | Code: 0
Generate Reports | Start: 2026-04-20 11:50:44.974785 | End: 2026-04-20 12:05:13.596939 | Duration: 0:14:28.622154 | Code: 0
Fetch Events | Start: 2026-04-20 14:25:51.020444 | End: 2026-04-20 14:28:35.621415 | Duration: 0:02:44.600971 | Code: 0
Fetch Events | Start: 2026-04-20 14:28:35.622414 | End: 2026-04-20 14:28:43.464480 | Duration: 0:00:07.842066 | Code: 0
Merge Files | Start: 2026-04-20 14:28:43.464480 | End: 2026-04-20 14:28:45.797499 | Duration: 0:00:02.333019 | Code: 0
Sessionize | Start: 2026-04-20 14:28:45.798547 | End: 2026-04-20 14:28:47.481981 | Duration: 0:00:01.683434 | Code: 0
Generate Reports | Start: 2026-04-20 14:28:47.482996 | End: 2026-04-20 14:28:48.818517 | Duration: 0:00:01.335521 | Code: 0
Generate Reports | Start: 2026-04-20 14:28:48.819530 | End: 2026-04-20 14:28:53.348034 | Duration: 0:00:04.528504 | Code: 0
Generate Reports | Start: 2026-04-20 14:28:53.349124 | End: 2026-04-20 14:28:58.996348 | Duration: 0:00:05.647224 | Code: 0
Generate Reports | Start: 2026-04-20 14:28:59.003365 | End: 2026-04-20 14:29:00.143208 | Duration: 0:00:01.139843 | Code: 0
Generate Reports | Start: 2026-04-20 14:29:00.143208 | End: 2026-04-20 14:29:01.018198 | Duration: 0:00:00.874990 | Code: 0
Generate Reports | Start: 2026-04-20 14:29:01.019102 | End: 2026-04-20 14:33:20.707581 | Duration: 0:04:19.688479 | Code: 0
Fetch Events | Start: 2026-04-28 14:58:58.590103 | End: 2026-04-28 15:04:42.365191 | Duration: 0:05:43.775088 | Code: 0
Fetch Events | Start: 2026-04-28 15:04:42.367201 | End: 2026-04-28 15:05:02.548654 | Duration: 0:00:20.181453 | Code: 0
Merge Files | Start: 2026-04-28 15:05:02.548654 | End: 2026-04-28 15:05:05.165039 | Duration: 0:00:02.616385 | Code: 0
Sessionize | Start: 2026-04-28 15:05:05.165039 | End: 2026-04-28 15:05:37.675560 | Duration: 0:00:32.510521 | Code: 0
Generate Reports | Start: 2026-04-28 15:05:37.675560 | End: 2026-04-28 15:05:58.714350 | Duration: 0:00:21.038790 | Code: 0
Generate Reports | Start: 2026-04-28 15:05:58.714350 | End: 2026-04-28 15:07:09.548567 | Duration: 0:01:10.834217 | Code: 0
Generate Reports | Start: 2026-04-28 15:07:09.548567 | End: 2026-04-28 15:08:40.679917 | Duration: 0:01:31.131350 | Code: 0
Generate Reports | Start: 2026-04-28 15:08:40.679917 | End: 2026-04-28 15:08:41.885440 | Duration: 0:00:01.205523 | Code: 0
Generate Reports | Start: 2026-04-28 15:08:41.890578 | End: 2026-04-28 15:09:47.126132 | Duration: 0:01:05.235554 | Code: 0
Generate Reports | Start: 2026-04-28 15:09:47.126132 | End: 2026-04-28 15:21:04.767871 | Duration: 0:11:17.641739 | Code: 0
Fetch Events | Start: 2026-04-29 11:44:47.892620 | End: 2026-04-29 11:46:32.087426 | Duration: 0:01:44.194806 | Code: 0
Fetch Events | Start: 2026-04-29 11:46:32.087426 | End: 2026-04-29 11:46:52.486210 | Duration: 0:00:20.398784 | Code: 0
Merge Files | Start: 2026-04-29 11:46:52.486210 | End: 2026-04-29 11:46:54.828152 | Duration: 0:00:02.341942 | Code: 0
Sessionize | Start: 2026-04-29 11:46:54.828152 | End: 2026-04-29 11:47:14.097270 | Duration: 0:00:19.269118 | Code: 0
